target,prediction,flag,roll_id,row_index
62.14,62.14,input,0,0
62.15,62.15,input,0,1
62.15,62.15,input,0,2
62.13,62.13,input,0,3
62.13,62.13,input,0,4
62.14,62.14,input,0,5
62.15,62.15,input,0,6
62.15,62.15,input,0,7
62.15,62.15,input,0,8
62.13,62.13,input,0,9
62.14,62.14,input,0,10
62.15,62.15,input,0,11
62.17,62.17,input,0,12
62.17,62.17,input,0,13
62.15,62.15,input,0,14
62.13,62.13,input,0,15
62.15,62.15,input,0,16
62.15,62.15,input,0,17
62.14,62.14,input,0,18
62.15,62.15,input,0,19
62.15,62.15,input,0,20
62.17,62.17,input,0,21
62.15,62.15,input,0,22
62.14,62.14,input,0,23
62.13,62.13,input,0,24
62.14,62.14,input,0,25
62.15,62.15,input,0,26
62.15,62.15,input,0,27
62.13,62.13,input,0,28
62.15,62.15,input,0,29
62.13,62.13,input,0,30
62.16,62.16,input,0,31
62.15,62.15,input,0,32
62.15,62.15,input,0,33
62.13,62.13,input,0,34
62.14,62.14,input,0,35
62.13,62.13,input,0,36
62.14,62.14,input,0,37
62.15,62.15,input,0,38
62.17,62.17,input,0,39
62.17,62.17,input,0,40
62.17,62.17,input,0,41
62.16,62.16,input,0,42
62.17,62.17,input,0,43
62.15,62.15,input,0,44
62.14,62.14,input,0,45
62.13,62.13,input,0,46
62.13,62.13,input,0,47
62.13,62.13,input,0,48
62.13,62.13,input,0,49
62.12,62.12,input,0,50
62.11,62.11,input,0,51
62.12,62.12,input,0,52
62.13,62.13,input,0,53
62.12,62.12,input,0,54
62.12,62.12,input,0,55
62.12,62.12,input,0,56
62.13,62.13,input,0,57
62.13,62.13,input,0,58
62.12,62.12,input,0,59
62.11,62.11,input,0,60
62.12,62.12,input,0,61
62.11,62.11,input,0,62
62.11,62.11,input,0,63
62.11,62.11,input,0,64
62.11,62.11,input,0,65
62.12,62.12,input,0,66
62.12,62.12,input,0,67
62.11,62.11,input,0,68
62.11,62.11,input,0,69
62.11,62.11,input,0,70
62.11,62.11,input,0,71
62.11,62.11,input,0,72
62.11,62.11,input,0,73
62.11,62.11,input,0,74
62.11,62.11,input,0,75
62.11,62.11,input,0,76
62.1,62.1,input,0,77
62.1,62.1,input,0,78
62.51,62.51,input,0,79
63.45,63.45,input,0,80
64.22,64.22,input,0,81
64.66,64.66,input,0,82
64.96,64.96,input,0,83
65.2,65.2,input,0,84
65.44,65.44,input,0,85
65.64,65.64,input,0,86
65.81,65.81,input,0,87
65.96,65.96,input,0,88
66.12,66.12,input,0,89
66.26,66.26,input,0,90
66.4,66.4,input,0,91
66.52,66.52,input,0,92
66.63,66.63,input,0,93
66.79,66.79,input,0,94
66.94,66.94,input,0,95
67.09,67.09,input,0,96
67.29,67.29,input,0,97
67.57,67.57,input,0,98
67.87,67.87,input,0,99
68.2,68.2,input,0,100
68.53,68.53,input,0,101
68.89,68.89,input,0,102
69.31,69.31,input,0,103
69.96,69.96,input,0,104
71.06,71.06,input,0,105
71.87,71.87,input,0,106
72.42,72.42,input,0,107
72.8,72.8,input,0,108
73.05,73.05,input,0,109
73.19,73.19,input,0,110
73.28,73.28,input,0,111
73.35,73.35,input,0,112
73.39,73.39,input,0,113
73.46,73.46,input,0,114
73.5,73.5,input,0,115
73.48,73.48,input,0,116
73.45,73.45,input,0,117
73.39,73.39,input,0,118
73.33,73.33,input,0,119
73.34,73.34,input,0,120
73.36,73.36,input,0,121
73.3,73.3,input,0,122
73.21,73.21,input,0,123
73.09,73.09,input,0,124
72.96,72.96,input,0,125
72.92,72.92,input,0,126
72.93,72.93,input,0,127
72.89,72.89,input,0,128
72.82,72.82,input,0,129
72.71,72.71,input,0,130
72.59,72.59,input,0,131
72.45,72.45,input,0,132
72.29,72.29,input,0,133
72.12,72.12,input,0,134
71.95,71.95,input,0,135
71.77,71.77,input,0,136
71.58,71.58,input,0,137
71.38,71.38,input,0,138
71.18,71.18,input,0,139
71.03,71.03,input,0,140
71.16,71.16,input,0,141
71.11,71.11,input,0,142
71.0,71.0,input,0,143
70.85,70.85,input,0,144
70.68,70.68,input,0,145
70.5,70.5,input,0,146
70.32,70.32,input,0,147
70.14,70.14,input,0,148
69.94,69.94,input,0,149
69.74,69.74,input,0,150
69.55,69.55,input,0,151
69.35,69.35,input,0,152
69.13,69.13,input,0,153
68.91,68.91,input,0,154
68.73,68.73,input,0,155
68.6,68.6,input,0,156
68.39,68.39,input,0,157
68.16,68.16,input,0,158
67.92,67.92,input,0,159
67.67,67.67,input,0,160
67.44,67.44,input,0,161
67.21,67.21,input,0,162
67.0,67.0,input,0,163
66.79,66.79,input,0,164
66.6,66.6,input,0,165
66.41,66.41,input,0,166
66.27,66.27,input,0,167
66.12,66.12,input,0,168
